year,white,black,hispanic,other
2002-2003,13628,9727,568,871
2003-2004,13464,10521,682,943
2004-2005,13025,11271,741,989
2005-2006,12359,12198,811,1038
2006-2007,11622,13053,887,1061
2007-2008,10905,13754,924,1093
2008-2009,10422,14236,957,1112
2009-2010,10027,14594,975,1183
2010-2011,9335,13825,1371,2319
2011-2012,9015,13917,1428,2418
